,Time(s),RNA,Protein
716,46443.2432432,464.432432432,539243.710779
717,46508.1081081,465.081081081,540751.02999
718,46572.972973,465.72972973,542260.452926
719,46637.8378378,466.378378378,543771.979588
720,46702.7027027,467.027027027,545285.609976
721,46767.5675676,467.675675676,546801.344088
722,46832.4324324,468.324324324,548319.181926
723,46897.2972973,468.972972973,549839.123489
724,46962.1621622,469.621621622,551361.168778
725,47027.027027,470.27027027,552885.317792
726,47091.8918919,470.918918919,554411.570531
727,47156.7567568,471.567567568,555939.926996
728,47221.6216216,472.216216216,557470.387186
729,47286.4864865,472.864864865,559002.951101
730,47351.3513514,473.513513514,560537.618742
731,47416.2162162,474.162162162,562074.390108
732,47481.0810811,474.810810811,563613.265199
733,47545.9459459,475.459459459,565154.244016
734,47610.8108108,476.108108108,566697.326558
735,47675.6756757,476.756756757,568242.512825
736,47740.5405405,477.405405405,569789.802818
737,47805.4054054,478.054054054,571339.196536
738,47870.2702703,478.702702703,572890.693979
739,47935.1351351,479.351351351,574444.295148
740,48000.0,480.0,576000.000042
741,48064.8648649,480.648648649,577557.808662
742,48129.7297297,481.297297297,579117.721007
743,48194.5945946,481.945945946,580679.737077
744,48259.4594595,482.594594595,582243.856872
745,48324.3243243,483.243243243,583810.080393
746,48389.1891892,483.891891892,585378.407639
747,48454.0540541,484.540540541,586948.838611
748,48518.9189189,485.189189189,588521.373308
749,48583.7837838,485.837837838,590096.01173
750,48648.6486486,486.486486486,591672.753878
751,48713.5135135,487.135135135,593251.599751
752,48778.3783784,487.783783784,594832.549349
753,48843.2432432,488.432432432,596415.602673
754,48908.1081081,489.081081081,598000.759722
755,48972.972973,489.72972973,599588.020496
756,49037.8378378,490.378378378,601177.384996
757,49102.7027027,491.027027027,602768.853221
758,49167.5675676,491.675675676,604362.425171
759,49232.4324324,492.324324324,605958.100847
760,49297.2972973,492.972972973,607555.880248
761,49362.1621622,493.621621622,609155.763374
762,49427.027027,494.27027027,610757.750226
763,49491.8918919,494.918918919,612361.840803
764,49556.7567568,495.567567568,613968.035106
